name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
Nancy Drew®: Warnings at Waverly Academy,HeR Interactive,"HeR Interactive,HeR Interactive","Adventure,Point & Click,Mystery,Female Protagonist,Puzzle,Detective","Single-player,Steam Achievements",Adventure,nancydrewwarningsatwaverlyacademy,"AdventureHeR Interactive,HeR InteractiveHeR Interactive","AdventureAdventure,Point & Click,Mystery,Female Protagonist,Puzzle,DetectiveHeR Interactive","AdventureAdventure,Point & Click,Mystery,Female Protagonist,Puzzle,DetectiveSingle-player,Steam Achievements","AdventureHeR Interactive,HeR InteractiveHeR InteractiveSingle-player,Steam Achievements"
Oceanhorn: Monster of Uncharted Seas,Cornfox & Bros.,"Cornfox & Bros.,Cornfox & Bros.","Adventure,RPG,Action,Indie,Puzzle,Singleplayer,Fantasy,Action-Adventure,Open World,Isometric,Great Soundtrack,Action RPG,Casual","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie,RPG",oceanhornmonsterofunchartedseas,"Action,Adventure,Indie,RPGCornfox & Bros.,Cornfox & Bros.Cornfox & Bros.","Action,Adventure,Indie,RPGAdventure,RPG,Action,Indie,Puzzle,Singleplayer,Fantasy,Action-Adventure,Open World,Isometric,Great Soundtrack,Action RPG,CasualCornfox & Bros.","Action,Adventure,Indie,RPGAdventure,RPG,Action,Indie,Puzzle,Singleplayer,Fantasy,Action-Adventure,Open World,Isometric,Great Soundtrack,Action RPG,CasualSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,Indie,RPGCornfox & Bros.,Cornfox & Bros.Cornfox & Bros.Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
Warrior Kings: Battles,Black Cactus,"Strategy First,Strategy First","Strategy,RTS,Fantasy",Single-player,Strategy,warriorkingsbattles,"StrategyStrategy First,Strategy FirstBlack Cactus","StrategyStrategy,RTS,FantasyBlack Cactus","StrategyStrategy,RTS,FantasySingle-player","StrategyStrategy First,Strategy FirstBlack CactusSingle-player"
Grim Legends 2: Song of the Dark Swan,Artifex Mundi,"Artifex Mundi,Artifex Mundi","Hidden Object,Casual,Adventure,Point & Click,Female Protagonist,Puzzle,Mystery,Family Friendly,Fantasy,Singleplayer,Horror,Cartoony,Atmospheric,Story Rich,Great Soundtrack,Indie,Short,2D,Visual Novel,Relaxing","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual",grimlegends2songofthedarkswan,"Adventure,CasualArtifex Mundi,Artifex MundiArtifex Mundi","Adventure,CasualHidden Object,Casual,Adventure,Point & Click,Female Protagonist,Puzzle,Mystery,Family Friendly,Fantasy,Singleplayer,Horror,Cartoony,Atmospheric,Story Rich,Great Soundtrack,Indie,Short,2D,Visual Novel,RelaxingArtifex Mundi","Adventure,CasualHidden Object,Casual,Adventure,Point & Click,Female Protagonist,Puzzle,Mystery,Family Friendly,Fantasy,Singleplayer,Horror,Cartoony,Atmospheric,Story Rich,Great Soundtrack,Indie,Short,2D,Visual Novel,RelaxingSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,CasualArtifex Mundi,Artifex MundiArtifex MundiSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Hook,"Maciej Targoni,Wojciech Wasiak","Maciej Targoni,Maciej Targoni","Puzzle,Casual,Indie,Minimalist,Short,Singleplayer,Relaxing,2D,Great Soundtrack,Difficult,Atmospheric","Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie",hook,"Casual,IndieMaciej Targoni,Maciej TargoniMaciej Targoni,Wojciech Wasiak","Casual,IndiePuzzle,Casual,Indie,Minimalist,Short,Singleplayer,Relaxing,2D,Great Soundtrack,Difficult,AtmosphericMaciej Targoni,Wojciech Wasiak","Casual,IndiePuzzle,Casual,Indie,Minimalist,Short,Singleplayer,Relaxing,2D,Great Soundtrack,Difficult,AtmosphericSingle-player,Steam Achievements,Steam Trading Cards","Casual,IndieMaciej Targoni,Maciej TargoniMaciej Targoni,Wojciech WasiakSingle-player,Steam Achievements,Steam Trading Cards"
NiGHTS Into Dreams,SEGA,"SEGA,SEGA","Adventure,Classic,Great Soundtrack,Score Attack,Surreal,Action,Retro,Colorful,Singleplayer,2.5D,Flight,Platformer,Remake,Masterpiece,Atmospheric,Family Friendly,Fantasy,Arcade","Single-player,Steam Achievements,Partial Controller Support",Adventure,nightsintodreams,"AdventureSEGA,SEGASEGA","AdventureAdventure,Classic,Great Soundtrack,Score Attack,Surreal,Action,Retro,Colorful,Singleplayer,2.5D,Flight,Platformer,Remake,Masterpiece,Atmospheric,Family Friendly,Fantasy,ArcadeSEGA","AdventureAdventure,Classic,Great Soundtrack,Score Attack,Surreal,Action,Retro,Colorful,Singleplayer,2.5D,Flight,Platformer,Remake,Masterpiece,Atmospheric,Family Friendly,Fantasy,ArcadeSingle-player,Steam Achievements,Partial Controller Support","AdventureSEGA,SEGASEGASingle-player,Steam Achievements,Partial Controller Support"
Ittle Dew,Ludosity,"Ludosity,Ludosity","Adventure,Puzzle,Indie,Female Protagonist,Cute,Comedy,2D,Exploration,Singleplayer,Funny,Great Soundtrack,Top-Down,Action,Cartoony,Short,RPG,Sokoban","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Adventure,Indie",ittledew,"Adventure,IndieLudosity,LudosityLudosity","Adventure,IndieAdventure,Puzzle,Indie,Female Protagonist,Cute,Comedy,2D,Exploration,Singleplayer,Funny,Great Soundtrack,Top-Down,Action,Cartoony,Short,RPG,SokobanLudosity","Adventure,IndieAdventure,Puzzle,Indie,Female Protagonist,Cute,Comedy,2D,Exploration,Singleplayer,Funny,Great Soundtrack,Top-Down,Action,Cartoony,Short,RPG,SokobanSingle-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Adventure,IndieLudosity,LudosityLudositySingle-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards"
Chime,Zoë Mode,"OneBigGame,OneBigGame","Casual,Puzzle,Music,Great Soundtrack,Rhythm,Indie,Addictive,Singleplayer","Single-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards",Casual,chime,"CasualOneBigGame,OneBigGameZoë Mode","CasualCasual,Puzzle,Music,Great Soundtrack,Rhythm,Indie,Addictive,SingleplayerZoë Mode","CasualCasual,Puzzle,Music,Great Soundtrack,Rhythm,Indie,Addictive,SingleplayerSingle-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards","CasualOneBigGame,OneBigGameZoë ModeSingle-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards"
Angels Fall First,Strangely Interactive Ltd,"Strangely Interactive Ltd,Strangely Interactive Ltd","Early Access,Sci-fi,FPS,Action,Multiplayer,Space,Early Access,Simulation,First-Person,Indie,Singleplayer,Tactical,Co-op,Futuristic,Great Soundtrack","Single-player,Multi-player,Partial Controller Support,Steam Cloud,Stats","Action,Simulation,Early Access",angelsfallfirst,"Action,Simulation,Early AccessStrangely Interactive Ltd,Strangely Interactive LtdStrangely Interactive Ltd","Action,Simulation,Early AccessEarly Access,Sci-fi,FPS,Action,Multiplayer,Space,Early Access,Simulation,First-Person,Indie,Singleplayer,Tactical,Co-op,Futuristic,Great SoundtrackStrangely Interactive Ltd","Action,Simulation,Early AccessEarly Access,Sci-fi,FPS,Action,Multiplayer,Space,Early Access,Simulation,First-Person,Indie,Singleplayer,Tactical,Co-op,Futuristic,Great SoundtrackSingle-player,Multi-player,Partial Controller Support,Steam Cloud,Stats","Action,Simulation,Early AccessStrangely Interactive Ltd,Strangely Interactive LtdStrangely Interactive LtdSingle-player,Multi-player,Partial Controller Support,Steam Cloud,Stats"
Pool Nation,Cherry Pop Games,"Cherry Pop Games,Cherry Pop Games","Sports,Pool,Simulation,Casual,Indie,Multiplayer,Relaxing,Strategy,Singleplayer,Physics,Addictive,Sandbox,Local Multiplayer","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards","Casual,Indie,Simulation,Sports,Strategy",poolnation,"Casual,Indie,Simulation,Sports,StrategyCherry Pop Games,Cherry Pop GamesCherry Pop Games","Casual,Indie,Simulation,Sports,StrategySports,Pool,Simulation,Casual,Indie,Multiplayer,Relaxing,Strategy,Singleplayer,Physics,Addictive,Sandbox,Local MultiplayerCherry Pop Games","Casual,Indie,Simulation,Sports,StrategySports,Pool,Simulation,Casual,Indie,Multiplayer,Relaxing,Strategy,Singleplayer,Physics,Addictive,Sandbox,Local MultiplayerSingle-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards","Casual,Indie,Simulation,Sports,StrategyCherry Pop Games,Cherry Pop GamesCherry Pop GamesSingle-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards"
The Four Kings Casino and Slots,Digital Leisure Inc.,"Digital Leisure Inc.,Digital Leisure Inc.","Massively Multiplayer,Casual,Free to Play,Gambling,Simulation,Card Game,Multiplayer,Character Customization,Indie,Relaxing,Early Access,Third Person,Replay Value,War","Online Multi-Player,MMO,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled","Casual,Free to Play,Massively Multiplayer,Simulation",thefourkingscasinoandslots,"Casual,Free to Play,Massively Multiplayer,SimulationDigital Leisure Inc.,Digital Leisure Inc.Digital Leisure Inc.","Casual,Free to Play,Massively Multiplayer,SimulationMassively Multiplayer,Casual,Free to Play,Gambling,Simulation,Card Game,Multiplayer,Character Customization,Indie,Relaxing,Early Access,Third Person,Replay Value,WarDigital Leisure Inc.","Casual,Free to Play,Massively Multiplayer,SimulationMassively Multiplayer,Casual,Free to Play,Gambling,Simulation,Card Game,Multiplayer,Character Customization,Indie,Relaxing,Early Access,Third Person,Replay Value,WarOnline Multi-Player,MMO,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled","Casual,Free to Play,Massively Multiplayer,SimulationDigital Leisure Inc.,Digital Leisure Inc.Digital Leisure Inc.Online Multi-Player,MMO,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled"
Environmental Station Alpha,"Arvi Teikari,Roope Mäkinen","Hempuli Oy,Hempuli Oy","Metroidvania,Pixel Graphics,Indie,Adventure,Action,Platformer,Difficult,Great Soundtrack,Retro,2D,Atmospheric,Singleplayer,Exploration,Sci-fi","Single-player,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie",environmentalstationalpha,"Action,Adventure,IndieHempuli Oy,Hempuli OyArvi Teikari,Roope Mäkinen","Action,Adventure,IndieMetroidvania,Pixel Graphics,Indie,Adventure,Action,Platformer,Difficult,Great Soundtrack,Retro,2D,Atmospheric,Singleplayer,Exploration,Sci-fiArvi Teikari,Roope Mäkinen","Action,Adventure,IndieMetroidvania,Pixel Graphics,Indie,Adventure,Action,Platformer,Difficult,Great Soundtrack,Retro,2D,Atmospheric,Singleplayer,Exploration,Sci-fiSingle-player,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,IndieHempuli Oy,Hempuli OyArvi Teikari,Roope MäkinenSingle-player,Steam Trading Cards,Partial Controller Support,Steam Cloud"
Captain Forever Remix,"Pixelsaurus Games,Future Crayon","Pixelsaurus Games,Pixelsaurus Games","Indie,Action,Building,Space,Singleplayer,Female Protagonist,Rogue-like,2D,Sci-fi,Rogue-lite,Shooter,Colorful,Top-Down,Replay Value,Hand-drawn,Family Friendly,Cartoony,Cartoon,Shoot 'Em Up,Funny","Single-player,Steam Achievements,Steam Workshop,Steam Cloud","Action,Indie",captainforeverremix,"Action,IndiePixelsaurus Games,Pixelsaurus GamesPixelsaurus Games,Future Crayon","Action,IndieIndie,Action,Building,Space,Singleplayer,Female Protagonist,Rogue-like,2D,Sci-fi,Rogue-lite,Shooter,Colorful,Top-Down,Replay Value,Hand-drawn,Family Friendly,Cartoony,Cartoon,Shoot 'Em Up,FunnyPixelsaurus Games,Future Crayon","Action,IndieIndie,Action,Building,Space,Singleplayer,Female Protagonist,Rogue-like,2D,Sci-fi,Rogue-lite,Shooter,Colorful,Top-Down,Replay Value,Hand-drawn,Family Friendly,Cartoony,Cartoon,Shoot 'Em Up,FunnySingle-player,Steam Achievements,Steam Workshop,Steam Cloud","Action,IndiePixelsaurus Games,Pixelsaurus GamesPixelsaurus Games,Future CrayonSingle-player,Steam Achievements,Steam Workshop,Steam Cloud"
Crazy Taxi,SEGA,"SEGA,SEGA","Racing,Arcade,Action,Classic,Driving,Open World,Singleplayer,Great Soundtrack,Retro,Fast-Paced,Casual,Funny","Single-player,Partial Controller Support","Action,Racing",crazytaxi,"Action,RacingSEGA,SEGASEGA","Action,RacingRacing,Arcade,Action,Classic,Driving,Open World,Singleplayer,Great Soundtrack,Retro,Fast-Paced,Casual,FunnySEGA","Action,RacingRacing,Arcade,Action,Classic,Driving,Open World,Singleplayer,Great Soundtrack,Retro,Fast-Paced,Casual,FunnySingle-player,Partial Controller Support","Action,RacingSEGA,SEGASEGASingle-player,Partial Controller Support"
Peggle™ Nights,"PopCap Games, Inc.","PopCap Games, Inc.,PopCap Games, Inc.","Casual,Puzzle,Singleplayer,2D,Addictive",Single-player,Casual,pegglenights,"CasualPopCap Games, Inc.,PopCap Games, Inc.PopCap Games, Inc.","CasualCasual,Puzzle,Singleplayer,2D,AddictivePopCap Games, Inc.","CasualCasual,Puzzle,Singleplayer,2D,AddictiveSingle-player","CasualPopCap Games, Inc.,PopCap Games, Inc.PopCap Games, Inc.Single-player"
Still Life,Microids,"Microids,Microids","Adventure,Point & Click,Mystery,Female Protagonist,Crime,Detective,Puzzle,Singleplayer,Horror,Noir,Atmospheric,Thriller,Investigation,Masterpiece",Single-player,Adventure,stilllife,"AdventureMicroids,MicroidsMicroids","AdventureAdventure,Point & Click,Mystery,Female Protagonist,Crime,Detective,Puzzle,Singleplayer,Horror,Noir,Atmospheric,Thriller,Investigation,MasterpieceMicroids","AdventureAdventure,Point & Click,Mystery,Female Protagonist,Crime,Detective,Puzzle,Singleplayer,Horror,Noir,Atmospheric,Thriller,Investigation,MasterpieceSingle-player","AdventureMicroids,MicroidsMicroidsSingle-player"
POSTAL,Running With Scissors,"Running With Scissors,Running With Scissors","Action,Dark Humor,Violent,Classic,Gore,Indie,Shooter,Singleplayer,Isometric,Villain Protagonist,Horror,Dark,Difficult,1990's,Top-Down Shooter,Mature,Atmospheric,Comedy,Psychological Horror,Top-Down","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Indie",postal,"Action,IndieRunning With Scissors,Running With ScissorsRunning With Scissors","Action,IndieAction,Dark Humor,Violent,Classic,Gore,Indie,Shooter,Singleplayer,Isometric,Villain Protagonist,Horror,Dark,Difficult,1990's,Top-Down Shooter,Mature,Atmospheric,Comedy,Psychological Horror,Top-DownRunning With Scissors","Action,IndieAction,Dark Humor,Violent,Classic,Gore,Indie,Shooter,Singleplayer,Isometric,Villain Protagonist,Horror,Dark,Difficult,1990's,Top-Down Shooter,Mature,Atmospheric,Comedy,Psychological Horror,Top-DownSingle-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,IndieRunning With Scissors,Running With ScissorsRunning With ScissorsSingle-player,Steam Achievements,Full controller support,Steam Trading Cards"
Avernum 2: Crystal Souls,Spiderweb Software,"Spiderweb Software,Spiderweb Software","RPG,Strategy,Indie,Adventure,Isometric,Fantasy,Turn-Based,Story Rich,CRPG","Single-player,Steam Achievements,Steam Cloud,Stats","Adventure,Indie,RPG,Strategy",avernum2crystalsouls,"Adventure,Indie,RPG,StrategySpiderweb Software,Spiderweb SoftwareSpiderweb Software","Adventure,Indie,RPG,StrategyRPG,Strategy,Indie,Adventure,Isometric,Fantasy,Turn-Based,Story Rich,CRPGSpiderweb Software","Adventure,Indie,RPG,StrategyRPG,Strategy,Indie,Adventure,Isometric,Fantasy,Turn-Based,Story Rich,CRPGSingle-player,Steam Achievements,Steam Cloud,Stats","Adventure,Indie,RPG,StrategySpiderweb Software,Spiderweb SoftwareSpiderweb SoftwareSingle-player,Steam Achievements,Steam Cloud,Stats"
Tom Clancy's Ghost Recon® Desert Siege™,Red Storm Entertainment,"Ubisoft,Ubisoft","Action,FPS,Tactical,Shooter,Strategy","Single-player,Multi-player",Action,tomclancysghostrecondesertsiege,"ActionUbisoft,UbisoftRed Storm Entertainment","ActionAction,FPS,Tactical,Shooter,StrategyRed Storm Entertainment","ActionAction,FPS,Tactical,Shooter,StrategySingle-player,Multi-player","ActionUbisoft,UbisoftRed Storm EntertainmentSingle-player,Multi-player"
SimpleRockets,"Jundroo, LLC","Jundroo, LLC,Jundroo, LLC","Simulation,Physics,Sandbox,Indie,Space Sim,Space,2D","Single-player,Steam Trading Cards","Indie,Simulation",simplerockets,"Indie,SimulationJundroo, LLC,Jundroo, LLCJundroo, LLC","Indie,SimulationSimulation,Physics,Sandbox,Indie,Space Sim,Space,2DJundroo, LLC","Indie,SimulationSimulation,Physics,Sandbox,Indie,Space Sim,Space,2DSingle-player,Steam Trading Cards","Indie,SimulationJundroo, LLC,Jundroo, LLCJundroo, LLCSingle-player,Steam Trading Cards"
Cultures - Northland,Funatics Software,"Daedalic Entertainment,Daedalic Entertainment","Strategy,City Builder,RTS,Resource Management,Singleplayer","Single-player,Multi-player",Strategy,culturesnorthland,"StrategyDaedalic Entertainment,Daedalic EntertainmentFunatics Software","StrategyStrategy,City Builder,RTS,Resource Management,SingleplayerFunatics Software","StrategyStrategy,City Builder,RTS,Resource Management,SingleplayerSingle-player,Multi-player","StrategyDaedalic Entertainment,Daedalic EntertainmentFunatics SoftwareSingle-player,Multi-player"
Nightmares from the Deep 2: The Siren`s Call,Artifex Mundi,"Artifex Mundi,Artifex Mundi","Hidden Object,Adventure,Casual,Point & Click,Female Protagonist,Puzzle,Singleplayer,Pirates,Fantasy,Atmospheric,Indie,Family Friendly,2D,Story Rich,Mystery,Great Soundtrack","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual",nightmaresfromthedeep2thesirenscall,"Adventure,CasualArtifex Mundi,Artifex MundiArtifex Mundi","Adventure,CasualHidden Object,Adventure,Casual,Point & Click,Female Protagonist,Puzzle,Singleplayer,Pirates,Fantasy,Atmospheric,Indie,Family Friendly,2D,Story Rich,Mystery,Great SoundtrackArtifex Mundi","Adventure,CasualHidden Object,Adventure,Casual,Point & Click,Female Protagonist,Puzzle,Singleplayer,Pirates,Fantasy,Atmospheric,Indie,Family Friendly,2D,Story Rich,Mystery,Great SoundtrackSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,CasualArtifex Mundi,Artifex MundiArtifex MundiSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Mind Snares: Alice's Journey,World-Loom,"Artifex Mundi,Artifex Mundi","Hidden Object,Casual,Adventure,Puzzle,Point & Click,Female Protagonist,Singleplayer,2D,Fantasy,Story Rich,Indie,Horror,Great Soundtrack,Atmospheric,Mystery,Family Friendly","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual",mindsnaresalicesjourney,"Adventure,CasualArtifex Mundi,Artifex MundiWorld-Loom","Adventure,CasualHidden Object,Casual,Adventure,Puzzle,Point & Click,Female Protagonist,Singleplayer,2D,Fantasy,Story Rich,Indie,Horror,Great Soundtrack,Atmospheric,Mystery,Family FriendlyWorld-Loom","Adventure,CasualHidden Object,Casual,Adventure,Puzzle,Point & Click,Female Protagonist,Singleplayer,2D,Fantasy,Story Rich,Indie,Horror,Great Soundtrack,Atmospheric,Mystery,Family FriendlySingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,CasualArtifex Mundi,Artifex MundiWorld-LoomSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Expeditions: Conquistador,Logic Artists,"THQ Nordic,THQ Nordic","RPG,Strategy,Turn-Based,Indie,Turn-Based Strategy,Historical,Exploration,Tactical,Isometric,Story Rich,Turn-Based Combat,Multiple Endings,Survival,CRPG,Adventure,Singleplayer,Kickstarter,Hex Grid,Character Customization,Choices Matter","Single-player,Multi-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Strategy",expeditionsconquistador,"Indie,RPG,StrategyTHQ Nordic,THQ NordicLogic Artists","Indie,RPG,StrategyRPG,Strategy,Turn-Based,Indie,Turn-Based Strategy,Historical,Exploration,Tactical,Isometric,Story Rich,Turn-Based Combat,Multiple Endings,Survival,CRPG,Adventure,Singleplayer,Kickstarter,Hex Grid,Character Customization,Choices MatterLogic Artists","Indie,RPG,StrategyRPG,Strategy,Turn-Based,Indie,Turn-Based Strategy,Historical,Exploration,Tactical,Isometric,Story Rich,Turn-Based Combat,Multiple Endings,Survival,CRPG,Adventure,Singleplayer,Kickstarter,Hex Grid,Character Customization,Choices MatterSingle-player,Multi-player,Steam Achievements,Steam Trading Cards","Indie,RPG,StrategyTHQ Nordic,THQ NordicLogic ArtistsSingle-player,Multi-player,Steam Achievements,Steam Trading Cards"
Freight Tycoon Inc.,Nikita,"1C Entertainment,1C Entertainment","Strategy,Management,Simulation,Economy,Singleplayer,Indie","Single-player,Steam Cloud",Strategy,freighttycooninc,"Strategy1C Entertainment,1C EntertainmentNikita","StrategyStrategy,Management,Simulation,Economy,Singleplayer,IndieNikita","StrategyStrategy,Management,Simulation,Economy,Singleplayer,IndieSingle-player,Steam Cloud","Strategy1C Entertainment,1C EntertainmentNikitaSingle-player,Steam Cloud"
SteamWorld Dig,Image & Form Games,"Image & Form Games,Image & Form Games","Platformer,Mining,Steampunk,Indie,Adventure,Metroidvania,Western,Robots,2D,Action,Singleplayer,Exploration,Short,Casual,Sci-fi,Great Soundtrack,Side Scroller,Sandbox,Controller,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",steamworlddig,"Action,Adventure,IndieImage & Form Games,Image & Form GamesImage & Form Games","Action,Adventure,IndiePlatformer,Mining,Steampunk,Indie,Adventure,Metroidvania,Western,Robots,2D,Action,Singleplayer,Exploration,Short,Casual,Sci-fi,Great Soundtrack,Side Scroller,Sandbox,Controller,RPGImage & Form Games","Action,Adventure,IndiePlatformer,Mining,Steampunk,Indie,Adventure,Metroidvania,Western,Robots,2D,Action,Singleplayer,Exploration,Short,Casual,Sci-fi,Great Soundtrack,Side Scroller,Sandbox,Controller,RPGSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,IndieImage & Form Games,Image & Form GamesImage & Form GamesSingle-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
Sakura Clicker,Winged Cloud,"Winged Cloud,Winged Cloud","Nudity,Anime,Free to Play,Mature,Sexual Content,Clicker,Female Protagonist,Singleplayer,Casual,Indie,Fantasy,NSFW,2D,Memes,Funny,Adventure,Dating Sim,RPG,Story Rich,Illuminati","Single-player,Steam Trading Cards,Steam Cloud","Casual,Free to Play,Indie",sakuraclicker,"Casual,Free to Play,IndieWinged Cloud,Winged CloudWinged Cloud","Casual,Free to Play,IndieNudity,Anime,Free to Play,Mature,Sexual Content,Clicker,Female Protagonist,Singleplayer,Casual,Indie,Fantasy,NSFW,2D,Memes,Funny,Adventure,Dating Sim,RPG,Story Rich,IlluminatiWinged Cloud","Casual,Free to Play,IndieNudity,Anime,Free to Play,Mature,Sexual Content,Clicker,Female Protagonist,Singleplayer,Casual,Indie,Fantasy,NSFW,2D,Memes,Funny,Adventure,Dating Sim,RPG,Story Rich,IlluminatiSingle-player,Steam Trading Cards,Steam Cloud","Casual,Free to Play,IndieWinged Cloud,Winged CloudWinged CloudSingle-player,Steam Trading Cards,Steam Cloud"
Prototype™,Radical Entertainment,"Activision,Activision","Action,Open World,Adventure,Gore,Third Person,Singleplayer,Parkour,Superhero,Zombies,Violent,Hack and Slash,Action-Adventure,Sci-fi,Sandbox,Story Rich,Stealth,RPG,Atmospheric,Controller,Horror",Single-player,"Action,Adventure",prototype,"Action,AdventureActivision,ActivisionRadical Entertainment","Action,AdventureAction,Open World,Adventure,Gore,Third Person,Singleplayer,Parkour,Superhero,Zombies,Violent,Hack and Slash,Action-Adventure,Sci-fi,Sandbox,Story Rich,Stealth,RPG,Atmospheric,Controller,HorrorRadical Entertainment","Action,AdventureAction,Open World,Adventure,Gore,Third Person,Singleplayer,Parkour,Superhero,Zombies,Violent,Hack and Slash,Action-Adventure,Sci-fi,Sandbox,Story Rich,Stealth,RPG,Atmospheric,Controller,HorrorSingle-player","Action,AdventureActivision,ActivisionRadical EntertainmentSingle-player"
The Night of the Rabbit,Daedalic Entertainment,"Daedalic Entertainment,Daedalic Entertainment","Adventure,Point & Click,Indie,Fantasy,Singleplayer,Story Rich,Atmospheric,Puzzle,Great Soundtrack,Magic,Family Friendly,Masterpiece,Hidden Object","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie",thenightoftherabbit,"Adventure,IndieDaedalic Entertainment,Daedalic EntertainmentDaedalic Entertainment","Adventure,IndieAdventure,Point & Click,Indie,Fantasy,Singleplayer,Story Rich,Atmospheric,Puzzle,Great Soundtrack,Magic,Family Friendly,Masterpiece,Hidden ObjectDaedalic Entertainment","Adventure,IndieAdventure,Point & Click,Indie,Fantasy,Singleplayer,Story Rich,Atmospheric,Puzzle,Great Soundtrack,Magic,Family Friendly,Masterpiece,Hidden ObjectSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,IndieDaedalic Entertainment,Daedalic EntertainmentDaedalic EntertainmentSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Anna's Quest,Daedalic Entertainment,"Daedalic Entertainment,Daedalic Entertainment","Adventure,Point & Click,Indie,Female Protagonist,Fantasy,Dark Humor,Dark,Singleplayer,Puzzle,Horror,Comedy,Atmospheric","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie",annasquest,"Adventure,IndieDaedalic Entertainment,Daedalic EntertainmentDaedalic Entertainment","Adventure,IndieAdventure,Point & Click,Indie,Female Protagonist,Fantasy,Dark Humor,Dark,Singleplayer,Puzzle,Horror,Comedy,AtmosphericDaedalic Entertainment","Adventure,IndieAdventure,Point & Click,Indie,Female Protagonist,Fantasy,Dark Humor,Dark,Singleplayer,Puzzle,Horror,Comedy,AtmosphericSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,IndieDaedalic Entertainment,Daedalic EntertainmentDaedalic EntertainmentSingle-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,Humongous Entertainment,"Humongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive Studios","Adventure,Casual,Point & Click,Family Friendly,Female Protagonist,Singleplayer","Single-player,Steam Cloud","Adventure,Casual",freddifish4thecaseofthehogfishrustlersofbrinygulch,"Adventure,CasualHumongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive StudiosHumongous Entertainment","Adventure,CasualAdventure,Casual,Point & Click,Family Friendly,Female Protagonist,SingleplayerHumongous Entertainment","Adventure,CasualAdventure,Casual,Point & Click,Family Friendly,Female Protagonist,SingleplayerSingle-player,Steam Cloud","Adventure,CasualHumongous Entertainment,Nightdive Studios,Humongous Entertainment,Nightdive StudiosHumongous EntertainmentSingle-player,Steam Cloud"
